Ano,Regiao,Qtd.Populacao.Homens,Qtd.Populacao.Mulheres,Qtd.Populacao.0_4_anos,Qtd.Populacao.5_9_anos,Qtd.Populacao.10_14_anos,Qtd.Populacao.15_19_anos,Qtd.Populacao.20_24_anos,Qtd.Populacao.25_29_anos,Qtd.Populacao.30_34_anos,Qtd.Populacao.35_39_anos,Qtd.Populacao.40_44_anos,Qtd.Populacao.45_49_anos,Qtd.Populacao.50_54_anos,Qtd.Populacao.55_59_anos,Qtd.Populacao.60_64_anos,Qtd.Populacao.65_69_anos,Qtd.Populacao.70_74_anos,Qtd.Populacao.75_79_anos,Qtd.Populacao.80_84_anos,Qtd.Populacao.85_ou_mais_anos,Qtd.Populacao.Total,Qtd.Populacao.Total.Criancas,Qtd.Populacao.Total.Adolescentes,Qtd.Populacao.Total.Jovens_Adultos,Qtd.Populacao.Total.Adultos,Qtd.Populacao.Total.Idosos,Qtd.Populacao.Proporcao.Criancas,Qtd.Populacao.Proporcao.Adolescentes,Qtd.Populacao.Proporcao.Jovens_Adultos,Qtd.Populacao.Proporcao.Adultos,Qtd.Populacao.Proporcao.Idosos,Qtd.Populacao.Densidade.hab.km,Qtd.Populacao.Estrangeira.Africa,Qtd.Populacao.Estrangeira.Angola,Qtd.Populacao.Estrangeira.Cabo_Verde,Qtd.Populacao.Estrangeira.Guine_Bissau,Qtd.Populacao.Estrangeira.Mocambique,Qtd.Populacao.Estrangeira.Sao_Tome_e_Principe,Qtd.Populacao.Estrangeira.America,Qtd.Populacao.Estrangeira.Brasil,Qtd.Populacao.Estrangeira.Asia,Qtd.Populacao.Estrangeira.China,Qtd.Populacao.Estrangeira.India,Qtd.Populacao.Estrangeira.Nepal,Qtd.Populacao.Estrangeira.Europa,Qtd.Populacao.Estrangeira.Espanha,Qtd.Populacao.Estrangeira.Franca,Qtd.Populacao.Estrangeira.Italia,Qtd.Populacao.Estrangeira.Republica_da_Moldova,Qtd.Populacao.Estrangeira.Reino_Unido,Qtd.Populacao.Estrangeira.Romenia,Qtd.Populacao.Estrangeira.Ucrania,Qtd.Populacao.Estrangeira.Total,Qtd.Empregados.Inferior.1.Ciclo,Qtd.Empregados.Basico.1.Ciclo,Qtd.Empregados.Basico.2.Ciclo,Qtd.Empregados.Basico.3.Ciclo,Qtd.Empregados.Secundario,Qtd.Empregados.TecnicoSuperiorProfissional,Qtd.Empregados.Bacharelado,Qtd.Empregados.Licenciatura,Qtd.Empregados.Mestrado,Qtd.Empregados.Doutorado,Qtd.Empregados.Total,Qtd.Desempregados.Faixa.<25,Qtd.Desempregados.Faixa.25-34,Qtd.Desempregados.Faixa.35-44,Qtd.Desempregados.Faixa.45-54,Qtd.Desempregados.Faixa.>55,Qtd.Desempregados.Faixa.Total,Qtd.Empregos.Ramo.Agricultura_Caca_Floresta_Pesca,Qtd.Empregos.Ramo.Agricultura_Servicos_Relacionados,Qtd.Empregos.Ramo.Silvicultura_Exploracao_Florestal,Qtd.Empregos.Ramo.Pesca_Aquicultura,Qtd.Empregos.Ramo.Industrias_Extrativas,Qtd.Empregos.Ramo.Industrias_Transformadoras,Qtd.Empregos.Ramo.Energia_Eletricidade_Gas,Qtd.Empregos.Ramo.Saneamento_Agua_Residuos,Qtd.Empregos.Ramo.Construcao,Qtd.Empregos.Ramo.Promocao_Imobiliaria_Construcao,Qtd.Empregos.Ramo.Engenharia_Civil,Qtd.Empregos.Ramo.Construcao_Especializada,Qtd.Empregos.Ramo.Comercio_Manutencao_Veiculos,Qtd.Empregos.Ramo.Comercio_Reparacao_Veiculos,Qtd.Empregos.Ramo.Comercio_Por_Grosso,Qtd.Empregos.Ramo.Comercio_A_Retalho,Qtd.Empregos.Ramo.Transportes_Armazenagem,Qtd.Empregos.Ramo.Alojamento_Restauracao,Qtd.Empregos.Ramo.Alojamento,Qtd.Empregos.Ramo.Restauracao,Qtd.Empregos.Ramo.Informacao_Comunicacao,Qtd.Empregos.Ramo.Atividades_Imobiliarias,Qtd.Empregos.Ramo.Consultoria_Cientifica_Tecnica,Qtd.Empregos.Ramo.Juridico_Contabilidade,Qtd.Empregos.Ramo.Consultoria_Gestao,Qtd.Empregos.Ramo.Engenharia_Arquitetura_Analises,Qtd.Empregos.Ramo.Servicos_Administrativos_Apoio,Qtd.Empregos.Ramo.Educacao,Qtd.Empregos.Ramo.Saude_Apoio_Social,Qtd.Empregos.Ramo.Artes_Cultura,Qtd.Empregos.Ramo.Outros_Servicos,Qtd.Empregos.Ramo.Total,Qtd.Renda.Media.Mensal,Qtd.Renda.Escolaridade.Inferior.1.Ciclo,Qtd.Renda.Escolaridade.Basico.1.Ciclo,Qtd.Renda.Escolaridade.Basico.2.Ciclo,Qtd.Renda.Escolaridade.Basico.3.Ciclo,Qtd.Renda.Escolaridade.Secundario,Qtd.Renda.Escolaridade.TecnicoSuperiorProfissional,Qtd.Renda.Escolaridade.Bacharelado,Qtd.Renda.Escolaridade.Licenciatura,Qtd.Renda.Escolaridade.Mestrado,Qtd.Renda.Escolaridade.Doutorado,Qtd.Renda.Escolaridade.Total,Qtd.Renda.Poder_de_Compra,Qtd.Habitacao.Quartos.T0_T1,Qtd.Habitacao.Quartos.T2,Qtd.Habitacao.Quartos.T3,Qtd.Habitacao.Quartos.T4_ou_mais,Qtd.Habitacao.Quartos.Total,Qtd.Habitacao.Familiar,Qtd.Habitacao.Outros,Qtd.Habitacao.Ampliacoes_Alteracoes_Reconstrucoes,Qtd.Habitacao.Novas,Qtd.Habitacao.Total,Valor.Habitacao.Arendamento.m2,Valor.Habitacao.Arendamento.100m2,Valor.Habitacao.Arendamento.80m2,Qtd.Hospitais.Publico.Privado,Qtd.Hospitais.Privado,Qtd.Hospitais.Publico,Qtd.Hospitais.Total,Qtd.Farmacias,Qtd.Ensino.NSuperior.Privado,Qtd.Ensino.NSuperior.Publico,Qtd.Ensino.NSuperior.artistica,Qtd.Ensino.NSuperior.basica,Qtd.Ensino.NSuperior.basica.secundaria,Qtd.Ensino.NSuperior.profissional,Qtd.Ensino.NSuperior.secundaria,Qtd.Ensino.NSuperior.Jardim_de_infancia,Qtd.Ensino.NSuperior.Total,Qtd.Ensino.Superior.Privado,Qtd.Ensino.Superior.Publico,Qtd.Ensino.Superior.Total,Qtd.Estabelecimentos.Bancarios,Qtd.Depositos.De.Imigrantes,Qtd.Depositos.De.Outros.Clientes,Qtd.Depositos.Total,Qtd.Cinemas,Qtd.Sessoes
"2.024,00",Abrantes,"16.258,00","17.512,00","1.034,00","1.124,00","1.199,00","1.563,00","1.673,00","1.554,00","1.377,00","1.455,00","1.885,00","2.403,00","2.415,00","2.538,00","2.759,00","2.677,00","2.467,00","2.145,00","1.531,00","1.971,00","33.770,00","2.158,00","2.762,00","1.673,00","13.627,00","13.550,00","6,39","8,18","4,95","40,35","40,12","47,30","0,00","191,00","22,00","23,00","0,00","3,00","0,00","475,00","0,00","32,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","40,00","76,00","39,00","1.169,00","0,00","398,00","480,00","1.556,00","2.229,00","4,00","91,00","1.039,00","130,00","0,00","5.957,00","203,00","294,00","265,00","248,00","318,00","1.328,00","487,00","241,00","231,00","15,00","0,00","2.076,00","113,00","197,00","700,00","400,00","29,00","271,00","1.596,00","238,00","268,00","1.090,00","209,00","663,00","95,00","568,00","74,00","122,00","584,00","161,00","39,00","164,00","443,00","189,00","628,00","126,00","307,00","8.514,00","1.289,00","959,60","1.106,70","1.079,80","1.107,70","1.176,20","1.722,50","2.018,50","1.771,70","2.259,50","1.932,80","1.289,00","0,29","1,00","0,00","8,00","4,00","13,00","14,00","18,00","10,00","22,00","32,00",5.26,526.0,420.79999999999995,"0,00","0,00","1,00","1,00","15,00","12,00","38,00","0,00","13,00","4,00","1,00","0,00","7,00","25,00","0,00","1,00","1,00","7,00","10.206,00","512.889,00","523.095,00","0,00","26,00"
"2.024,00",Aguiar da Beira,"2.519,00","2.807,00","139,00","130,00","162,00","216,00","226,00","268,00","246,00","228,00","286,00","326,00","330,00","368,00","433,00","488,00","418,00","415,00","272,00","375,00","5.326,00","269,00","378,00","226,00","2.052,00","2.401,00","5,05","7,10","4,24","38,53","45,08","25,60","0,00","2,00","2,00","0,00","0,00","0,00","0,00","28,00","0,00","11,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","1,00","7,00","63,00","0,00","121,00","143,00","282,00","292,00","0,00","5,00","102,00","13,00","0,00","965,00","9,00","13,00","16,00","15,00","29,00","82,00","285,00","263,00","22,00","0,00","30,00","169,00","4,00","0,00","207,00","108,00","26,00","73,00","495,00","68,00","80,00","347,00","91,00","170,00","45,00","125,00","6,00","13,00","73,00","32,00","0,00","24,00","32,00","16,00","85,00","8,00","33,00","1.717,00","1.016,90","0,00","1.024,30","930,20","964,20","980,50","0,00","1.921,10","1.240,80","1.549,70","0,00","1.016,90","0,04","0,00","2,00","7,00","3,00","12,00","13,00","9,00","3,00","19,00","22,00",,,,"0,00","0,00","0,00","0,00","2,00","0,00","14,00","0,00","4,00","1,00","0,00","0,00","2,00","7,00","0,00","0,00","0,00","2,00","19.138,00","162.557,00","181.695,00","0,00","7,00"
"2.024,00",Alandroal,"2.416,00","2.557,00","143,00","156,00","177,00","228,00","217,00","223,00","222,00","238,00","323,00","351,00","366,00","378,00","414,00","370,00","306,00","263,00","261,00","337,00","4.973,00","299,00","405,00","217,00","2.101,00","1.951,00","6,01","8,14","4,36","42,25","39,23","9,20","0,00","2,00","0,00","1,00","0,00","1,00","0,00","76,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","20,00","6,00","7,00","189,00","0,00","100,00","94,00","181,00","145,00","0,00","3,00","59,00","7,00","0,00","593,00","7,00","13,00","19,00","18,00","24,00","81,00","473,00","464,00","9,00","0,00","8,00","118,00","0,00","0,00","106,00","60,00","0,00","46,00","143,00","8,00","48,00","87,00","11,00","116,00","47,00","69,00","6,00","7,00","31,00","10,00","0,00","13,00","102,00","10,00","24,00","21,00","16,00","1.192,00","1.171,40","0,00","1.032,10","1.143,60","1.037,20","1.170,80","0,00","1.069,80","1.781,20","1.937,20","0,00","1.171,40","0,03","0,00","1,00","2,00","0,00","3,00","5,00","2,00","2,00","5,00","7,00",,,,"0,00","0,00","0,00","0,00","4,00","0,00","8,00","0,00","3,00","0,00","0,00","0,00","1,00","4,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00","36,00"
"2.024,00",Albergaria-a-Velha,"12.795,00","13.376,00","950,00","1.083,00","1.173,00","1.284,00","1.418,00","1.520,00","1.452,00","1.493,00","1.831,00","2.062,00","1.924,00","1.965,00","1.837,00","1.683,00","1.513,00","1.300,00","874,00","809,00","26.171,00","2.033,00","2.457,00","1.418,00","12.247,00","8.016,00","7,77","9,39","5,42","46,80","30,63","162,30","0,00","34,00","4,00","13,00","0,00","10,00","0,00","587,00","0,00","12,00","0,00","0,00","0,00","0,00","0,00","0,00","6,00","13,00","2,00","79,00","1.181,00","24,00","386,00","965,00","1.846,00","2.346,00","6,00","123,00","880,00","201,00","4,00","6.793,00","73,00","118,00","107,00","106,00","113,00","516,00","416,00","226,00","155,00","35,00","0,00","4.425,00","12,00","47,00","953,00","420,00","70,00","463,00","1.952,00","365,00","985,00","602,00","473,00","385,00","66,00","319,00","84,00","133,00","440,00","165,00","71,00","115,00","520,00","0,00","270,00","86,00","164,00","10.547,00","1.349,10","983,30","1.125,40","1.215,90","1.236,30","1.273,50","2.078,00","1.900,00","1.825,70","1.893,80","2.553,20","1.349,10","0,21","1,00","5,00","9,00","5,00","20,00","21,00","25,00","4,00","42,00","46,00",5.55,555.0,444.0,"0,00","0,00","0,00","0,00","9,00","20,00","44,00","0,00","15,00","1,00","1,00","1,00","14,00","32,00","0,00","0,00","0,00","8,00","8.636,00","319.967,00","328.603,00","1,00","48,00"
"2.024,00",Albufeira,"23.867,00","24.940,00","2.438,00","2.265,00","2.300,00","2.496,00","2.482,00","2.867,00","3.283,00","3.304,00","3.644,00","3.852,00","3.742,00","3.394,00","3.399,00","2.946,00","2.336,00","1.803,00","1.188,00","1.068,00","48.807,00","4.703,00","4.796,00","2.482,00","24.086,00","12.740,00","9,64","9,83","5,09","49,35","26,10","337,90","0,00","115,00","314,00","557,00","0,00","31,00","0,00","5.039,00","0,00","368,00","0,00","0,00","0,00","0,00","0,00","0,00","223,00","2.742,00","497,00","968,00","18.970,00","0,00","1.088,00","1.683,00","5.940,00","7.840,00","20,00","205,00","1.814,00","225,00","0,00","19.102,00","261,00","826,00","607,00","465,00","433,00","2.592,00","593,00","503,00","13,00","77,00","0,00","508,00","13,00","0,00","2.156,00","1.466,00","53,00","637,00","3.533,00","351,00","690,00","2.492,00","1.306,00","12.495,00","6.930,00","5.565,00","268,00","1.018,00","1.181,00","496,00","257,00","165,00","2.783,00","307,00","591,00","583,00","768,00","28.110,00","1.216,30","1.010,30","1.105,00","1.098,00","1.105,00","1.217,70","1.738,10","1.660,70","1.625,30","2.063,20","0,00","1.216,30","0,46","23,00","9,00","16,00","14,00","62,00","43,00","4,00","19,00","28,00","47,00",10.31,1031.0,824.8000000000001,"0,00","1,00","0,00","1,00","9,00","14,00","46,00","0,00","16,00","0,00","0,00","2,00","12,00","30,00","0,00","0,00","0,00","12,00","21.619,00","1.300.842,00","1.322.461,00","1,00","131,00"
"2.024,00",Alcanena,"6.222,00","6.654,00","420,00","488,00","569,00","650,00","654,00","630,00","579,00","634,00","797,00","884,00","979,00","878,00","974,00","936,00","862,00","744,00","576,00","622,00","12.876,00","908,00","1.219,00","654,00","5.381,00","4.714,00","7,05","9,47","5,08","41,79","36,61","100,10","0,00","28,00","19,00","14,00","0,00","1,00","0,00","341,00","0,00","18,00","0,00","0,00","0,00","0,00","0,00","0,00","13,00","2,00","24,00","72,00","681,00","9,00","181,00","340,00","820,00","1.274,00","0,00","56,00","518,00","51,00","0,00","3.249,00","27,00","62,00","61,00","66,00","64,00","280,00","96,00","93,00","3,00","0,00","0,00","1.965,00","4,00","76,00","287,00","170,00","42,00","75,00","1.332,00","156,00","657,00","519,00","1.085,00","190,00","41,00","149,00","55,00","107,00","335,00","103,00","164,00","18,00","208,00","111,00","88,00","46,00","108,00","6.093,00","1.324,30","1.041,20","1.158,00","1.113,30","1.168,60","1.238,60","0,00","2.090,60","1.840,20","1.934,60","0,00","1.324,30","0,10","1,00","1,00","10,00","1,00","13,00","5,00","7,00","1,00","11,00","12,00",4.6,459.99999999999994,368.0,"0,00","1,00","0,00","1,00","5,00","4,00","34,00","0,00","6,00","0,00","0,00","1,00","12,00","19,00","0,00","0,00","0,00","4,00","4.949,00","217.637,00","222.586,00","1,00","61,00"
"2.024,00",Alcobaça,"28.152,00","29.821,00","2.169,00","2.205,00","2.330,00","2.757,00","3.130,00","3.271,00","3.152,00","3.172,00","3.634,00","4.103,00","4.286,00","4.354,00","4.201,00","3.841,00","3.683,00","3.108,00","2.261,00","2.316,00","57.973,00","4.374,00","5.087,00","3.130,00","25.972,00","19.410,00","7,54","8,77","5,40","44,80","33,48","140,50","0,00","75,00","85,00","17,00","0,00","33,00","0,00","1.554,00","0,00","110,00","0,00","0,00","0,00","0,00","0,00","0,00","32,00","348,00","47,00","247,00","4.514,00","58,00","1.068,00","1.611,00","3.647,00","4.663,00","18,00","140,00","1.555,00","167,00","9,00","12.983,00","166,00","242,00","240,00","222,00","300,00","1.171,00","1.440,00","1.311,00","74,00","55,00","290,00","6.478,00","23,00","180,00","2.180,00","1.004,00","98,00","1.078,00","5.036,00","847,00","2.277,00","1.912,00","462,00","1.784,00","526,00","1.258,00","144,00","432,00","1.019,00","461,00","135,00","228,00","1.197,00","438,00","772,00","252,00","493,00","22.620,00","1.214,60","935,40","1.060,30","1.154,40","1.140,80","1.179,90","1.006,10","1.949,70","1.565,80","1.650,30","2.012,50","1.214,60","0,46","64,00","58,00","121,00","21,00","264,00","150,00","15,00","12,00","153,00","165,00",6.2,620.0,496.0,"0,00","0,00","1,00","1,00","16,00","30,00","70,00","0,00","28,00","1,00","1,00","2,00","18,00","50,00","0,00","0,00","0,00","14,00","11.906,00","900.548,00","912.454,00","1,00","343,00"
"2.024,00",Alcochete,"9.797,00","10.665,00","813,00","980,00","1.216,00","1.336,00","1.234,00","1.093,00","967,00","1.097,00","1.415,00","1.985,00","1.854,00","1.490,00","1.235,00","986,00","880,00","837,00","581,00","463,00","20.462,00","1.793,00","2.552,00","1.234,00","9.901,00","4.982,00","8,76","12,47","6,03","48,39","24,35","156,60","0,00","103,00","13,00","7,00","0,00","12,00","0,00","507,00","0,00","46,00","0,00","0,00","0,00","0,00","0,00","0,00","11,00","50,00","214,00","48,00","1.581,00","0,00","259,00","411,00","1.355,00","2.013,00","0,00","61,00","693,00","119,00","3,00","4.974,00","31,00","74,00","93,00","103,00","102,00","403,00","412,00","363,00","6,00","43,00","0,00","642,00","0,00","190,00","947,00","242,00","94,00","611,00","1.768,00","133,00","1.219,00","416,00","96,00","407,00","37,00","370,00","121,00","129,00","461,00","137,00","146,00","85,00","453,00","230,00","257,00","114,00","150,00","6.377,00","2.338,90","919,20","1.112,50","1.424,90","2.608,80","2.506,10","0,00","2.330,40","2.327,90","2.800,60","7.995,20","2.338,90","0,22","10,00","26,00","73,00","8,00","117,00","73,00","11,00","20,00","64,00","84,00",9.24,924.0,739.2,"0,00","0,00","0,00","0,00","5,00","10,00","18,00","0,00","8,00","0,00","0,00","1,00","5,00","14,00","0,00","0,00","0,00","5,00","2.661,00","224.382,00","227.043,00","0,00","83,00"
"2.024,00",Alcoutim,"1.143,00","1.258,00","38,00","52,00","64,00","69,00","100,00","112,00","103,00","77,00","94,00","129,00","142,00","158,00","162,00","180,00","255,00","217,00","196,00","253,00","2.401,00","90,00","133,00","100,00","815,00","1.263,00","3,75","5,54","4,16","33,94","52,60","4,20","0,00","0,00","4,00","0,00","0,00","0,00","0,00","18,00","0,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","107,00","3,00","1,00","264,00","0,00","0,00","12,00","61,00","66,00","0,00","0,00","34,00","4,00","0,00","189,00","3,00","8,00","6,00","5,00","11,00","33,00","141,00","109,00","0,00","0,00","0,00","51,00","5,00","0,00","58,00","43,00","0,00","0,00","66,00","6,00","10,00","50,00","14,00","81,00","17,00","64,00","6,00","8,00","52,00","6,00","3,00","40,00","43,00","6,00","11,00","14,00","29,00","585,00","1.145,80","0,00","1.011,80","957,50","1.009,00","1.100,60","0,00","0,00","1.439,40","2.225,20","0,00","1.145,80","0,02","1,00","0,00","1,00","0,00","2,00","4,00","1,00","2,00","3,00","5,00",,,,"0,00","0,00","0,00","0,00","2,00","4,00","4,00","0,00","2,00","0,00","0,00","0,00","2,00","4,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","130,00"
"2.024,00",Alcácer do Sal,"5.361,00","5.675,00","364,00","367,00","458,00","524,00","524,00","490,00","450,00","483,00","684,00","840,00","721,00","685,00","810,00","944,00","825,00","755,00","517,00","595,00","11.036,00","731,00","982,00","524,00","4.353,00","4.446,00","6,62","8,90","4,75","39,44","40,29","7,40","0,00","5,00","9,00","0,00","0,00","1,00","0,00","199,00","0,00","15,00","0,00","0,00","0,00","0,00","0,00","0,00","12,00","25,00","110,00","15,00","633,00","26,00","239,00","244,00","577,00","722,00","0,00","15,00","250,00","37,00","0,00","2.119,00","27,00","40,00","32,00","35,00","47,00","182,00","1.099,00","681,00","338,00","80,00","0,00","265,00","4,00","0,00","405,00","288,00","19,00","98,00","494,00","55,00","147,00","292,00","22,00","547,00","0,00","0,00","74,00","91,00","173,00","63,00","31,00","41,00","293,00","36,00","123,00","51,00","100,00","3.782,00","1.210,10","963,80","1.029,00","1.071,60","1.089,90","1.134,10","0,00","1.339,80","1.900,80","1.998,10","1.780,20","1.210,10","0,09","1,00","5,00","8,00","12,00","26,00","26,00","0,00","0,00","26,00","26,00",7.26,726.0,580.8,"0,00","0,00","0,00","0,00","5,00","6,00","20,00","0,00","8,00","0,00","0,00","1,00","4,00","13,00","0,00","0,00","0,00","3,00","1.521,00","188.256,00","189.777,00","1,00","43,00"
